Year,G,S1,S2
1739.5,4.01,2.29,2.08
1740.5,NaN,NaN,NaN
1741.5,NaN,NaN,NaN
1742.5,1.73,1.55,0.95
1743.5,1.63,1.91,1.15
1744.5,NaN,NaN,NaN
1745.5,NaN,NaN,NaN
1746.5,NaN,NaN,NaN
1747.5,NaN,NaN,NaN
1748.5,5.43,1.69,1.28
1749.5,6.68,0.98,0.99
1750.5,4.94,1.51,0.49
1751.5,3.84,0.8,0.62
1752.5,4.34,0.66,0.77
1753.5,3.4,0.84,0.65
1754.5,1.68,0.71,0.5
1755.5,1.56,0.71,0.5
1756.5,1.64,0.63,0.52
1757.5,2.28,0.69,0.45
1758.5,3.02,0.9,0.47
1759.5,5.17,1.19,1.19
1760.5,5.17,1.13,0.97
1761.5,6.72,0.79,1.1
1762.5,5.44,0.86,0.76
1763.5,4.35,0.71,0.69
1764.5,3.58,0.79,0.66
1765.5,1.73,0.71,0.47
1766.5,1.55,0.48,0.48
1767.5,3.64,0.76,0.51
1768.5,6.02,1.01,0.8
1769.5,7.71,1.12,1.07
1770.5,7.68,1.1,1.07
1771.5,6.89,0.87,1.19
1772.5,5.23,0.92,0.66
1773.5,3.21,0.68,0.51
1774.5,2.96,0.8,0.44
1775.5,1.7,0.48,0.47
1776.5,2.08,0.6,0.43
1777.5,4.33,1.22,0.53
1778.5,8.86,1.24,1.12
1779.5,9.48,1.48,1.35
1780.5,7.45,1.11,1.33
1781.5,6.33,1.19,1
1782.5,4.2,0.86,0.93
1783.5,3.41,0.88,0.62
1784.5,2.12,0.85,0.74
1785.5,2.97,0.59,0.66
1786.5,6,1.31,0.6
1787.5,8.28,1.07,1.11
1788.5,8.72,1.05,1.03
1789.5,7.87,1,1.22
1790.5,6.88,1.09,1.1
1791.5,5.59,0.92,1.16
1792.5,5.48,1.44,1.22
1793.5,2.51,1.3,0.56
1794.5,4.71,0.81,1.23
1795.5,3.02,0.7,0.92
1796.5,2.38,0.68,0.57
1797.5,1.73,0.58,0.45
1798.5,1.3,0.63,0.34
1799.5,1.74,0.53,0.51
1800.5,2.41,0.67,0.61
1801.5,4.42,0.96,0.82
1802.5,3.69,0.87,0.71
1803.5,3.01,0.78,0.73
1804.5,3.13,0.74,0.71
1805.5,3.13,0.72,0.69
1806.5,2.62,0.54,0.67
1807.5,2.09,0.53,0.7
1808.5,1.86,0.67,0.38
1809.5,1.52,0.59,0.46
1810.5,1.08,0.52,0.4
1811.5,1.27,0.52,0.44
1812.5,1.92,0.55,0.6
1813.5,2.26,0.71,0.53
1814.5,2.04,0.62,0.49
1815.5,3.22,0.76,0.6
1816.5,4.26,0.69,0.81
1817.5,4.2,0.79,0.81
1818.5,3.78,0.78,0.7
1819.5,3.04,0.82,0.62
1820.5,2.42,0.65,0.51
1821.5,1.87,0.58,0.51
1822.5,1.56,0.57,0.43
1823.5,1.28,0.51,0.37
1824.5,1.6,0.62,0.39
1825.5,2.54,0.78,0.6
1826.5,3.67,0.88,0.75
1827.5,4.71,0.92,0.83
1828.5,5.54,1,1
1829.5,5.71,0.95,0.92
1830.5,6.03,1,1
1831.5,4.34,0.91,0.87
1832.5,3.08,0.84,0.63
1833.5,1.77,0.62,0.52
1834.5,1.7,0.7,0.51
1835.5,4.69,0.91,0.8
1836.5,8.32,1.1,0.93
1837.5,9.47,0.84,1.08
1838.5,7.29,1.06,1.02
1839.5,6.49,1.01,0.96
1840.5,5.12,1.01,0.9
1841.5,3.4,0.82,0.77
1842.5,2.42,0.78,0.63
1843.5,1.35,0.57,0.4
1844.5,1.78,0.65,0.54
1845.5,3.61,0.9,0.83
1846.5,4.57,0.94,0.9
1847.5,6.82,0.85,1.19
1848.5,8.55,0.92,1
1849.5,7.89,1.01,0.94
1850.5,5.96,1,1.01
1851.5,5.99,1.01,0.94
1852.5,5.48,1.04,0.94
1853.5,4.33,0.88,0.85
1854.5,2.55,0.73,0.7
1855.5,1.33,0.53,0.44
1856.5,1.1,0.5,0.39
1857.5,2.95,0.73,0.75
1858.5,5.44,0.95,0.83
1859.5,7.94,0.97,1.02
1860.5,8.34,0.96,1.01
1861.5,7.01,0.94,0.99
1862.5,5.5,0.93,0.88
1863.5,4.74,0.91,0.79
1864.5,4.47,0.87,0.81
1865.5,3.23,0.79,0.74
1866.5,2.27,0.66,0.57
1867.5,1.41,0.56,0.46
1868.5,3.62,0.84,0.68
1869.5,6.21,0.98,0.85
1870.5,9.24,0.84,0.99
1871.5,7.93,0.91,0.95
1872.5,7.58,0.87,0.96
1873.5,5.27,0.9,0.82
1874.5,4.18,0.79,0.74
1875.5,2.09,0.69,0.52
1876.5,1.44,0.54,0.43
1877.5,1.37,0.54,0.41
1878.5,0.77,0.4,0.29
1879.5,0.99,0.42,0.37
1880.5,3.03,0.72,0.57
1881.5,4.93,0.88,0.77
1882.5,4.98,0.82,0.8
1883.5,5.43,0.9,0.83
1884.5,5.98,0.82,0.81
1885.5,4.88,0.75,0.8
1886.5,2.79,0.63,0.66
1887.5,1.66,0.57,0.51
1888.5,1.1,0.51,0.32
1889.5,1.04,0.46,0.37
1890.5,1.15,0.49,0.39
1891.5,3.98,0.76,0.75
1892.5,6.51,0.94,0.88
1893.5,7.66,0.97,0.96
1894.5,7.31,0.95,0.93
1895.5,5.86,0.94,0.82
1896.5,3.85,0.78,0.68
1897.5,3.05,0.7,0.63
1898.5,2.63,0.68,0.58
1899.5,1.5,0.5,0.44
1900.5,1.25,0.53,0.4
1901.5,0.54,0.36,0.25
1902.5,0.65,0.35,0.26
1903.5,2.36,0.64,0.49
1904.5,4.23,0.68,0.69
1905.5,5.1,0.85,0.71
1906.5,5.1,0.74,0.78
1907.5,5.27,0.84,0.65
1908.5,4.91,0.84,0.79
1909.5,4.06,0.78,0.64
1910.5,2.12,0.54,0.49
1911.5,0.97,0.42,0.34
1912.5,0.6,0.37,0.24
1913.5,0.42,0.34,0.2
1914.5,1.17,0.5,0.33
1915.5,4.13,0.78,0.76
1916.5,5.36,0.9,0.83
1917.5,8.57,0.89,1.05
1918.5,7.2,0.88,0.9
1919.5,6,0.78,0.79
1920.5,3.78,0.7,0.62
1921.5,2.65,0.63,0.58
1922.5,1.59,0.55,0.41
1923.5,0.92,0.37,0.33
1924.5,1.85,0.49,0.44
1925.5,4.22,0.76,0.72
1926.5,5.87,0.82,0.74
1927.5,6.28,0.83,0.83
1928.5,6.72,0.85,0.91
1929.5,6.05,0.81,0.74
1930.5,3.83,0.77,0.63
1931.5,2.39,0.53,0.49
1932.5,1.31,0.43,0.34
1933.5,0.72,0.33,0.28
1934.5,1.05,0.42,0.34
1935.5,3.75,0.77,0.62
1936.5,7.45,0.95,0.79
1937.5,10.1,1.14,1.07
1938.5,9.72,0.98,0.95
1939.5,8.1,0.72,0.73
1940.5,6.31,0.77,0.74
1941.5,4.55,0.78,0.69
1942.5,2.86,0.62,0.46
1943.5,1.63,0.41,0.36
1944.5,1.27,0.43,0.33
1945.5,3.55,0.7,0.63
1946.5,8.07,0.99,0.82
1947.5,11.62,1.07,1.12
1948.5,10.59,1.04,0.98
1949.5,10.04,0.98,0.96
1950.5,6.47,0.86,0.83
1951.5,5.19,0.79,0.77
1952.5,2.74,0.57,0.55
1953.5,1.46,0.48,0.39
1954.5,0.74,0.32,0.27
1955.5,3.33,0.73,0.57
1956.5,10.29,0.98,1.05
1957.5,13.03,0.99,0.97
1958.5,13.5,1.11,1.02
1959.5,11.71,0.9,0.95
1960.5,8.53,1.05,0.93
1961.5,4.45,0.74,0.74
1962.5,2.91,0.6,0.53
1963.5,2.35,0.54,0.46
1964.5,1.2,0.39,0.32
1965.5,1.58,0.44,0.39
1966.5,3.97,0.61,0.64
1967.5,7.88,1.02,0.89
1968.5,8.03,0.91,0.92
1969.5,7.9,0.98,0.9
1970.5,8.75,0.91,0.9
1971.5,6.07,0.8,0.74
1972.5,5.94,0.91,0.82
1973.5,3.4,0.71,0.66
1974.5,3.12,0.72,0.66
1975.5,1.57,0.41,0.39
1976.5,1.41,0.39,0.34
1977.5,2.65,0.55,0.5
1978.5,7.92,1.02,0.83
1979.5,11.61,1.08,1.01
1980.5,10.5,1.07,1.06
1981.5,10.78,1.02,1.09
1982.5,8.85,1.06,0.89
1983.5,5.52,0.88,0.78
1984.5,3.56,0.7,0.59
1985.5,1.51,0.5,0.39
1986.5,1.19,0.41,0.34
1987.5,2.28,0.56,0.5
1988.5,6.65,0.88,0.83
1989.5,10.81,1.07,1.08
1990.5,10.86,1.14,1.11
1991.5,11,1.03,1.15
1992.5,7.46,0.97,0.77
1993.5,4.53,0.69,0.63
1994.5,2.96,0.64,0.54
1995.5,1.83,0.51,0.44
1996.5,1.05,0.37,0.31
1997.5,2,0.52,0.4
1998.5,5.53,0.77,0.71
1999.5,7.61,0.98,0.88
2000.5,9.51,1.06,0.98
2001.5,9.76,1.07,0.97
2002.5,9.52,1.06,0.96
2003.5,6.13,0.96,0.93
2004.5,4.15,0.75,0.71
2005.5,3.09,0.68,0.55
2006.5,1.95,0.48,0.44
2007.5,1.15,0.4,0.33
2008.5,0.69,0.33,0.26
2009.5,0.7,0.35,0.23
2010.5,2.03,0.53,0.43
